Category,2004,2005,2006,2007,2008,2009,2010
Total,26110,26609,27027,27592,28114,28409,28793
Male,24779,25220,25574,26094,26563,26819,27167
Female,1010,1054,1093,1122,1160,1191,1211
Transgender,321,335,360,376,391,399,415
White,18946,19232,19454,19811,20090,20111,20298
African American,3265,3348,3429,3518,3610,3586,3649
Latino,2956,3051,3126,3213,3305,3459,3543
Asian/Pacific Islander,783,811,838,876,918,890,913
Native American,134,137,140,146,149,126,128
MSM,19696,19970,20170,20567,20901,21086,21267
IDU,1962,2016,2060,2113,2150,2166,2180
MSM IDU,3728,3863,3997,4087,4195,4280,4430
Heterosexual,328,348,370,401,432,451,479
Other/Unidentified,228,245,430,257,270,444,473
